pacient,fase_fixa,fase_mobil,parella,loss_name,optimizer,config,dsc_final,assd_final,hd_final,hd95_final,nsd_final,dsc_identitat,assd_identitat,hd95_identitat,dsc_centroides,assd_centroides,hd95_centroides,loss_final,n_iter,n_feval,convergence_ok,temps_s,params_opt,history_path
HCC_057,pv,arterial,pv<-arterial,soft_dice,lbfgsb,soft_dice_lbfgsb,0.9087295278697699,3.112028121948242,35.513206481933594,10.02194881439209,0.44217016913025764,0.9461764752700573,1.973770260810852,9.295561790466309,0.9046233650471374,3.5327401161193848,15.67199993133545,0.120471,2,294,True,5435.335,"[ 7.2867e-02, 8.2056e-01, 5.9660e+00,-5.7448e-03,-1.0026e-02,-2.0591e-03]",C:\Users\Noemí Font\Desktop\CoregistreRigidFetge-main\results_coregistre\taula_resultats_2026.07.17_10.59.21\history\HCC_057_arterial_soft_dice_lbfgsb.npy
HCC_019,pv,pre-contrast,pv<-pre-contrast,soft_dice,lbfgsb,soft_dice_lbfgsb,0.8114913600408648,6.056041717529297,54.512779235839844,29.807836532592773,0.2702689768488028,0.8243192919137363,6.090338706970215,32.091217041015625,0.7865202968302151,6.57558012008667,29.120746612548828,0.217967,20,287,True,5898.493,"[-0.5615,-1.6053,-5.9079,-0.0066,-0.0137, 0.1229]",C:\Users\Noemí Font\Desktop\CoregistreRigidFetge-main\results_coregistre\taula_resultats_2026.07.17_10.59.21\history\HCC_019_pre-contrast_soft_dice_lbfgsb.npy
HCC_019,pv,arterial,pv<-arterial,soft_dice,lbfgsb,soft_dice_lbfgsb,0.9104943882783051,2.725053310394287,63.1977653503418,9.05306625366211,0.4948020796551766,0.9139415895905222,2.6732873916625977,10.024688720703125,0.9107692242166282,2.7605788707733154,9.47988224029541,0.140385,5,371,False,6589.121,"[ 0.8194,-0.5182,-0.7279,-0.0066,-0.0028, 0.0023]",C:\Users\Noemí Font\Desktop\CoregistreRigidFetge-main\results_coregistre\taula_resultats_2026.07.17_10.59.21\history\HCC_019_arterial_soft_dice_lbfgsb.npy
HCC_050,pv,pre-contrast,pv<-pre-contrast,soft_dice,lbfgsb,soft_dice_lbfgsb,0.8714981375807896,3.4432804584503174,33.48793411254883,11.943930625915527,0.398581034185178,0.878945908490009,3.4870283603668213,16.441125869750977,0.8686043286198857,3.4922914505004883,11.588863372802734,0.171692,2,329,False,6874.633,"[ 1.7905e-01,-2.8768e+00, 1.2701e+01,-5.1219e-04,-3.6619e-03,-5.0523e-04]",C:\Users\Noemí Font\Desktop\CoregistreRigidFetge-main\results_coregistre\taula_resultats_2026.07.17_10.59.21\history\HCC_050_pre-contrast_soft_dice_lbfgsb.npy
HCC_057,pv,pre-contrast,pv<-pre-contrast,soft_dice,lbfgsb,soft_dice_lbfgsb,0.814615167970561,7.322832107543945,52.5,27.181325912475586,0.23497230264589225,0.877586654681781,5.605943202972412,32.5,0.7849887612676981,8.474449157714844,28.966997146606445,0.201307,1,287,False,7035.438,"[ 5.1177e+00, 9.2993e+00,-8.3360e+00, 2.1284e-02, 4.1221e-02, 4.8613e-03]",C:\Users\Noemí Font\Desktop\CoregistreRigidFetge-main\results_coregistre\taula_resultats_2026.07.17_10.59.21\history\HCC_057_pre-contrast_soft_dice_lbfgsb.npy
HCC_050,pv,arterial,pv<-arterial,soft_dice,lbfgsb,soft_dice_lbfgsb,0.9281402174379463,1.826341986656189,30.6666259765625,5.145585536956787,0.6274241679925506,0.9184333490241631,2.2091312408447266,6.306386470794678,0.9271864551108787,1.8568885326385498,5.145585536956787,0.133251,2,343,False,7705.477,"[ 1.1064e+00, 1.7449e-01, 4.0838e+00,-4.8543e-04,-2.3591e-03,-4.9539e-04]",C:\Users\Noemí Font\Desktop\CoregistreRigidFetge-main\results_coregistre\taula_resultats_2026.07.17_10.59.21\history\HCC_050_arterial_soft_dice_lbfgsb.npy
HCC_062,pv,pre-contrast,pv<-pre-contrast,soft_dice,lbfgsb,soft_dice_lbfgsb,0.865192633711906,5.25992488861084,73.5022964477539,42.5,0.4704442001003809,0.8683606325618685,5.152059555053711,42.5,0.8235338855812472,6.211707592010498,32.5,0.178683,6,140,True,3456.013,"[-3.9446,-3.8638, 0.8451, 0.0207,-0.0218,-0.0138]",C:\Users\Noemí Font\Desktop\CoregistreRigidFetge-main\results_coregistre\taula_resultats_2026.07.17_10.59.21\history\HCC_062_pre-contrast_soft_dice_lbfgsb.npy
HCC_060,pv,arterial,pv<-arterial,soft_dice,lbfgsb,soft_dice_lbfgsb,0.8934487735477713,2.489607095718384,37.67717742919922,8.548263549804688,0.5312940447610934,0.8567954932350083,3.5351250171661377,12.5,0.8680118195937776,3.2558798789978027,10.0,0.160389,1,308,False,6219.806,"[ 3.5120e+00, 4.7620e+00, 6.1408e+00,-1.5582e-02,-1.8659e-02,-3.9126e-03]",C:\Users\Noemí Font\Desktop\CoregistreRigidFetge-main\results_coregistre\taula_resultats_2026.07.17_10.59.21\history\HCC_060_arterial_soft_dice_lbfgsb.npy
HCC_060,pv,pre-contrast,pv<-pre-contrast,soft_dice,lbfgsb,soft_dice_lbfgsb,0.8802434816697784,3.645230293273926,47.23634338378906,26.851043701171875,0.5796989099122379,0.8804162330563968,3.4702627658843994,23.39185333251953,0.8193704108502616,4.802074909210205,24.71075439453125,0.179275,20,301,True,6690.728,"[-2.2647e+00,-4.0204e+00, 6.2739e-01,-2.6898e-03,-9.1574e-03, 1.8377e-02]",C:\Users\Noemí Font\Desktop\CoregistreRigidFetge-main\results_coregistre\taula_resultats_2026.07.17_10.59.21\history\HCC_060_pre-contrast_soft_dice_lbfgsb.npy
HCC_062,pv,arterial,pv<-arterial,soft_dice,lbfgsb,soft_dice_lbfgsb,0.9063936208145232,2.2772016525268555,26.87057113647461,7.593814373016357,0.5287794441763315,0.8921345396018525,2.6684012413024902,8.495891571044922,0.8958137529640009,2.6199989318847656,7.605459690093994,0.139591,3,287,True,7594.421,"[-3.1759e-01,-5.2516e+00, 4.2468e-01,-1.6491e-02, 2.2534e-03,-9.5475e-03]",C:\Users\Noemí Font\Desktop\CoregistreRigidFetge-main\results_coregistre\taula_resultats_2026.07.17_10.59.21\history\HCC_062_arterial_soft_dice_lbfgsb.npy
